Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[SEH Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2012,Columbia University in the City of New York,Engineering,Total for selected values,"2,024"
2012,Columbia University in the City of New York,Engineering,Female,547
2012,Columbia University in the City of New York,Engineering,Male,"1,477"
2012,Columbia University in the City of New York,Health,Total for selected values,102
2012,Columbia University in the City of New York,Health,Female,83
2012,Columbia University in the City of New York,Health,Male,19
2012,Cornell University,Total for selected values,Total for selected values,"4,892"
2012,Cornell University,Science,Total for selected values,"3,211"
2012,Cornell University,Science,Female,"1,614"
2012,Cornell University,Science,Male,"1,597"
2012,Cornell University,Engineering,Total for selected values,"1,518"
2012,Cornell University,Engineering,Female,487
2012,Cornell University,Engineering,Male,"1,031"
2012,Cornell University,Health,Total for selected values,163
2012,Cornell University,Health,Female,102
2012,Cornell University,Health,Male,61
2012,Dartmouth College,Total for selected values,Total for selected values,921
2012,Dartmouth College,Science,Total for selected values,530
2012,Dartmouth College,Science,Female,241
2012,Dartmouth College,Science,Male,289
2012,Dartmouth College,Engineering,Total for selected values,208
2012,Dartmouth College,Engineering,Female,70
2012,Dartmouth College,Engineering,Male,138
2012,Dartmouth College,Health,Total for selected values,183
2012,Dartmouth College,Health,Female,96
2012,Dartmouth College,Health,Male,87
2012,Duke University,Total for selected values,Total for selected values,"2,387"
2012,Duke University,Science,Total for selected values,"1,721"
2012,Duke University,Science,Female,840
2012,Duke University,Science,Male,881
2012,Duke University,Engineering,Total for selected values,590
2012,Duke University,Engineering,Female,182
2012,Duke University,Engineering,Male,408
2012,Duke University,Health,Total for selected values,76
2012,Duke University,Health,Female,40
2012,Duke University,Health,Male,36
2012,Harvard University,Total for selected values,Total for selected values,"4,862"
2012,Harvard University,Science,Total for selected values,"4,176"
2012,Harvard University,Science,Female,"1,895"
2012,Harvard University,Science,Male,"2,281"
2012,Harvard University,Engineering,Total for selected values,198
2012,Harvard University,Engineering,Female,65
2012,Harvard University,Engineering,Male,133
2012,Harvard University,Health,Total for selected values,488
2012,Harvard University,Health,Female,303
2012,Harvard University,Health,Male,185
2012,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,650"
2012,Massachusetts Institute of Technology,Science,Total for selected values,"1,909"
2012,Massachusetts Institute of Technology,Science,Female,619
2012,Massachusetts Institute of Technology,Science,Male,"1,290"
2012,Massachusetts Institute of Technology,Engineering,Total for selected values,"2,741"
2012,Massachusetts Institute of Technology,Engineering,Female,748
2012,Massachusetts Institute of Technology,Engineering,Male,"1,993"
2012,Princeton University,Total for selected values,Total for selected values,"1,989"
2012,Princeton University,Science,Total for selected values,"1,496"
2012,Princeton University,Science,Female,538
2012,Princeton University,Science,Male,958
2012,Princeton University,Engineering,Total for selected values,493
2012,Princeton University,Engineering,Female,135
2012,Princeton University,Engineering,Male,358
2012,Stanford University,Total for selected values,Total for selected values,"5,977"
2012,Stanford University,Science,Total for selected values,"2,785"
2012,Stanford University,Science,Female,"1,102"
2012,Stanford University,Science,Male,"1,683"
2012,Stanford University,Engineering,Total for selected values,"3,184"
2012,Stanford University,Engineering,Female,846
2012,Stanford University,Engineering,Male,"2,338"
2012,Stanford University,Health,Total for selected values,8
2012,Stanford University,Health,Female,5
2012,Stanford University,Health,Male,3
2012,University of Pennsylvania,Total for selected values,Total for selected values,"2,560"
