Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Enrollment Status","Full Time"
"Institution Name","12 of 1070"
"SEH Fields","Science, Engineering"
"First-Time Students","First Time Students"

,,,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[SEH Fields]","[Broad Fields]","[First-Time Students]","[Enrollment Status]","[Sex]",
"2016","Harvard University","Science","Biological sciences","Total for selected values","Total for selected values","Total for selected values","322",
"2016","Harvard University","Science","Biological sciences","First Time Students","Total for selected values","Total for selected values","322",
"2016","Harvard University","Science","Biological sciences","First Time Students","Full Time","Total for selected values","322",
"2016","Harvard University","Science","Biological sciences","First Time Students","Full Time","Female","182",
"2016","Harvard University","Science","Biological sciences","First Time Students","Full Time","Male","140",
"2016","Harvard University","Science","Computer sciences","Total for selected values","Total for selected values","Total for selected values","61",
"2016","Harvard University","Science","Computer sciences","First Time Students","Total for selected values","Total for selected values","61",
"2016","Harvard University","Science","Computer sciences","First Time Students","Full Time","Total for selected values","61",
"2016","Harvard University","Science","Computer sciences","First Time Students","Full Time","Female","23",
"2016","Harvard University","Science","Computer sciences","First Time Students","Full Time","Male","38",
"2016","Harvard University","Science","Earth, atmospheric, and ocean sciences","Total for selected values","Total for selected values","Total for selected values","15",
"2016","Harvard University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Total for selected values","Total for selected values","15",
"2016","Harvard University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Total for selected values","15",
"2016","Harvard University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Female","9",
"2016","Harvard University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Male","6",
"2016","Harvard University","Science","Mathematics and statistics","Total for selected values","Total for selected values","Total for selected values","32",
"2016","Harvard University","Science","Mathematics and statistics","First Time Students","Total for selected values","Total for selected values","32",
"2016","Harvard University","Science","Mathematics and statistics","First Time Students","Full Time","Total for selected values","32",
"2016","Harvard University","Science","Mathematics and statistics","First Time Students","Full Time","Female","12",
"2016","Harvard University","Science","Mathematics and statistics","First Time Students","Full Time","Male","20",
"2016","Harvard University","Science","Neurobiology and neuroscience","Total for selected values","Total for selected values","Total for selected values","21",
"2016","Harvard University","Science","Neurobiology and neuroscience","First Time Students","Total for selected values","Total for selected values","21",
"2016","Harvard University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Total for selected values","21",
"2016","Harvard University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Female","9",
