Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Enrollment Status","Full Time"
"Institution Name","12 of 1070"
"SEH Fields","Science, Engineering"
"First-Time Students","First Time Students"

,,,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[SEH Fields]","[Detailed Fields]","[First-Time Students]","[Enrollment Status]","[Sex]",
"2016","Columbia University in the City of New York","Engineering","Industrial and manufacturing engineering","First Time Students","Full Time","Total for selected values","433",
"2016","Columbia University in the City of New York","Engineering","Industrial and manufacturing engineering","First Time Students","Full Time","Female","179",
"2016","Columbia University in the City of New York","Engineering","Industrial and manufacturing engineering","First Time Students","Full Time","Male","254",
"2016","Columbia University in the City of New York","Engineering","Mechanical engineering","Total for selected values","Total for selected values","Total for selected values","88",
"2016","Columbia University in the City of New York","Engineering","Mechanical engineering","First Time Students","Total for selected values","Total for selected values","88",
"2016","Columbia University in the City of New York","Engineering","Mechanical engineering","First Time Students","Full Time","Total for selected values","88",
"2016","Columbia University in the City of New York","Engineering","Mechanical engineering","First Time Students","Full Time","Female","20",
"2016","Columbia University in the City of New York","Engineering","Mechanical engineering","First Time Students","Full Time","Male","68",
"2016","Cornell University","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,733",
"2016","Cornell University","Science","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,029",
"2016","Cornell University","Science","Agricultural economics","Total for selected values","Total for selected values","Total for selected values","42",
"2016","Cornell University","Science","Agricultural economics","First Time Students","Total for selected values","Total for selected values","42",
"2016","Cornell University","Science","Agricultural economics","First Time Students","Full Time","Total for selected values","42",
"2016","Cornell University","Science","Agricultural economics","First Time Students","Full Time","Female","22",
"2016","Cornell University","Science","Agricultural economics","First Time Students","Full Time","Male","20",
"2016","Cornell University","Science","Agricultural sciences","Total for selected values","Total for selected values","Total for selected values","88",
"2016","Cornell University","Science","Agricultural sciences","First Time Students","Total for selected values","Total for selected values","88",
"2016","Cornell University","Science","Agricultural sciences","First Time Students","Full Time","Total for selected values","88",
"2016","Cornell University","Science","Agricultural sciences","First Time Students","Full Time","Female","55",
"2016","Cornell University","Science","Agricultural sciences","First Time Students","Full Time","Male","33",
"2016","Cornell University","Science","Anthropology","Total for selected values","Total for selected values","Total for selected values","11",
"2016","Cornell University","Science","Anthropology","First Time Students","Total for selected values","Total for selected values","11",
"2016","Cornell University","Science","Anthropology","First Time Students","Full Time","Total for selected values","11",
"2016","Cornell University","Science","Anthropology","First Time Students","Full Time","Female","6",
"2016","Cornell University","Science","Anthropology","First Time Students","Full Time","Male","5",
"2016","Cornell University","Science","Astronomy and astrophysics","Total for selected values","Total for selected values","Total for selected values","3",
"2016","Cornell University","Science","Astronomy and astrophysics","First Time Students","Total for selected values","Total for selected values","3",
"2016","Cornell University","Science","Astronomy and astrophysics","First Time Students","Full Time","Total for selected values","3",
"2016","Cornell University","Science","Astronomy and astrophysics","First Time Students","Full Time","Male","3",
"2016","Cornell University","Science","Atmospheric sciences","Total for selected values","Total for selected values","Total for selected values","1",
"2016","Cornell University","Science","Atmospheric sciences","First Time Students","Total for selected values","Total for selected values","1",
"2016","Cornell University","Science","Atmospheric sciences","First Time Students","Full Time","Total for selected values","1",
"2016","Cornell University","Science","Atmospheric sciences","First Time Students","Full Time","Male","1",
